cpf,data_hora_solicitacao,limite_atual,novo_limite_solicitado,status_pedido
11111111111,2025-11-28T17:25:01.356634,10000.00,15000,reprovado
11111111111,2025-11-28T17:57:16.427901,10000.00,50000,reprovado
11111111111,2025-11-28T17:58:33.327629,10000.00,100000,reprovado
111.111.111/11,2025-11-28T18:24:27.660408,10000.00,15000,aprovado
111.111.111/11,2025-11-28T18:32:32.229117,15000.00,20000,aprovado
111.111.111/11,2025-11-28T20:09:55.801017,10000.00,50000,reprovado
111.111.111/11,2025-11-28T20:31:41.947857,10000.00,60000,reprovado
111.111.111/11,2025-11-28T20:40:58.609024,5000.00,15000,reprovado
111.111.111/11,2025-11-28T20:42:43.938313,5000.00,15000,reprovado
111.111.111/11,2025-11-28T20:44:13.923763,5000.00,10000,reprovado
111.111.111/11,2025-11-28T20:52:26.385548,5000.00,55000,reprovado
111.111.111/11,2025-11-28T20:53:58.410145,5000.00,15000,reprovado
111.111.111/11,2025-11-28T20:57:37.706662,5000.00,15000,reprovado
111.111.111/11,2025-11-28T20:59:29.933602,5000.00,20000,reprovado
111.111.111/11,2025-11-29T13:42:07.040992,5000.00,15000,reprovado
111.111.111/11,2025-11-29T13:49:38.515380,5000.00,15000,reprovado
111.111.111/11,2025-11-29T13:52:25.072293,5000.00,15000,aprovado
111.111.111/11,2025-11-29T14:11:41.239377,5000.00,10000,reprovado
111.111.111/11,2025-11-29T14:14:55.178358,5000.00,10000,aprovado
